Lead__ppm,Long,Lat
455,-75.1157342,39.9766456
867,-75.1158629,39.976662
315,-75.1155922,39.9766349
705,-75.1158415,39.976736
176,-75.1167,39.9806
183,-75.1169,39.9802
161,-75.1165,39.9777
227,-75.1166,39.9792
92,-75.1161,39.9796
168,-75.130478,39.970949
102,-75.130438,39.970869
56,-75.130379,39.970892
1760,-75.1264,39.9725
1966,-75.1264,39.9725
821,-75.1265,39.9725
1052,-75.1265,39.9725
137,-75.1276,39.9718
147,-75.1276,39.9719
69,-75.1278,39.9718
94,-75.128,39.9717
517,-75.123037,39.98173
543,-75.123103,39.981703
98,-75.126676,39.978853
179,-75.126638,39.978864
458,-75.130023,39.971182
541,-75.130003,39.971148
70,-75.111,39.9787
109,-75.1109,39.9798
68,-75.1109,39.9804
46,-75.1122,39.98
76,-75.1123,39.979
93,-75.1122,39.979
65,-75.1124,39.9791
217,-75.1122,39.979
258,-75.112,39.9788
47,-75.1102,39.979
690,-75.1103,39.9798
429,-75.1103,39.9797
184,-75.1105,39.9799
238,-75.1106,39.9798
228,-75.1106,39.9798
127,-75.1107,39.9798
123,-75.1107,39.9797
103,-75.1108,39.9797
103,-75.1121,39.979
149,-75.1098,39.9793
160,-75.1096,39.9795
29,-75.1081,39.9793
25,-75.1082,39.9795
458,-75.1084,39.9797
468,-75.1085,39.9796
558,-75.1085,39.9796
389,-75.1084,39.9795
0,-75.1065,39.9815
34,-75.1066,39.9813
255,-75.1073,39.9822
40,-75.1074,39.9822
218,-75.1085,39.9825
296,-75.1087,39.9824
111,-75.109,39.9823
114,-75.1092,39.9825
94,-75.1087,39.9828
331,-75.1108,39.9804
654,-75.1146,39.9823
305,-75.1145,39.9825
460,-75.1221,39.9771
514,-75.112,39.9772
857,-75.122,39.9772
330,-75.1221,39.9772
807,-75.1219,39.9772
268,-75.124,39.9725
686,-75.1191,39.9742
2332,-75.1189,39.9743
657,-75.1187,39.9745
547,-75.1185,39.9746
272,-75.1183,39.9746
137,-75.1181,39.9747
0,-75.1179,39.9748
281,-75.1175,39.975
308,-75.1173,39.9747
608,-75.1214,39.9767
126,-75.1251,39.9766
485,-75.1245,39.9762
545,-75.1246,39.9762
141,-75.1236,39.975
374,-75.1236,39.975
1042,-75.1232,39.9737
532,-75.129357,39.968956
323,-75.129334,39.968916
74,-75.130423,39.970918
137,-75.130416,39.970969
346,-75.129763,39.971353
340,-75.129752,39.971375
353,-75.129768,39.971398
91,-75.1307,39.9711
226,-75.1296,39.9715
79,-75.1311,39.9716
234,-75.131387,39.969328
570,-75.131437,39.969315
226,-75.1314,39.9697
54,-75.1299,39.9689
